name_elections;amco;name_hdng
Hekelingen;10873;HEKELINGEN
Hellevoet (Nieuw-);10264;NIEUW HELVOET
Hellevoetsluis;11078;HELLEVOETSLUIS
Hodenpijl;10876;HODENPIJL
Hof van Delft;10089;HOF VAN DELFT
Kethel;10551;KETHEL EN SPALAND
Lier (De);10241;DE LIER
Maasland;10393;MAASLAND
Maassluis;10880;MAASSLUIS
Mathenesse;11302;OUD-EN NIEUW-MATHENESSE
Moercapelle;11383;MOERKAPELLE
Wijk 2-8,15;NA;NA
Wijk 1,9-14;NA;NA
Kralingen;11367;KRALINGEN
Nieuwerkerk aan den Yssel;10855;NIEUWERKERK AAN DEN IJSSEL
Nieuwland;11213;NIEUWLAND
Overschie;10683;OVERSCHIE
Schiebroek;11306;SCHIEBROEK
Schiedam;11260;SCHIEDAM
Tempel;10175;TEMPEL
Vlaardingen;10811;VLAARDINGEN
Vlaardingerambacht;10790;VLAARDINGER-AMBACHT
Zevenhuizen;11377;ZEVENHUIZEN
Zouteveen;11231;ZOUTEVEEN
Klaaswaal;10284;KLAASWAAL
Lindt (Groote- en Kleine-);11042;GROOTE LINDT
Maasdam;11019;MAASDAM
Meerdervoort;10435;MEERDERVOORT
Mijnsheerenland;11112;MIJNSHEERENLAND
Numansdorp;11346;NUMANSDORP
Pernis;11245;PERNIS
Poortugaal;11395;POORTUGAAL
Puttershoek;10222;PUTTERSHOEK
Rhoon;10903;RHOON
Ridderkerk;10646;RIDDERKERK
Rijsoort;10503;RIJSOORT
Bommel (Den);10293;DEN BOMMEL
Dirksland;11344;DIRKSLAND
Goedereede;10981;GOEDEREEDE
Herkingen;10267;HERKINGEN
Melissant;10918;MELISSANT
Middelharnis;11067;MIDDELHARNIS
Naters;10372;KANTENS
Nieuwenhoorn;10338;NIEUWENHOORN
Onwaard;11217;ONWAARD
Ooltgensplaat;11163;OOLTGENSPLAAT
Oostvoorne;10009;OOSTVOORNE
Ouddorp;10363;OUDORP
Oudenhoorn;10380;OUDENHOORN
Aagtekerke;10531;AAGTEKERKE
Aardenburg;11020;AARDENBURG
Arnemuiden;11419;ARNEMUIDEN
Axel;11289;AXEL
Biervliet;10257;BIERVLIET
Biggekerke;11364;BIGGEKERKE
Boschkapelle;10605;BOSCHKAPELLE
Breskens;10233;BRESKENS
Cadzand;11002;CADZAND
Clinge;10965;CLINGE
Domburg;10236;DOMBURG
Eede;11128;EEDE
Gapinge;10306;GAPINGE
Graauw;10312;GRAAUW EN LANGENDAM
Grijpskerke;10801;GRIJPSKERKE
Groede;11312;GROEDE
Heille;11309;HEILLE
Hengstdijk;10636;HENGSTDIJK
Hoek;10038;HOEK
Hoofdplaat;10147;HOOFDPLAAT
Hulst;11408;HULST
Jansteen (St.);10864;SINT JANSTEEN
Kleverskerke;10519;KLEVERSKERKE
Koewacht;10892;KOEWACHT
Koudekerke;11428;KOUDEKERKE
Annaland (St.);11200;SINT-ANNALAND
"Bommel 



Bommel (Den)";10293;DEN BOMMEL
Bommenede;10785;BOMMENEDE
Brouwershaven;10030;BROUWERSHAVEN
Bruinisse;11291;BRUINISSE
Burgh;11000;BURGH
Colijnsplaat;10121;COLIJNSPLAAT
Dreischor;10885;DREISCHOR
Duivendijke;10335;DUIVENDIJKE
Elkerzee;10184;ELKERZEE
Ellemeet;10102;ELLEMEET
Haamstede;10701;HAAMSTEDE
Kats;10919;KATS
Kerkwerve;10837;KERKWERVE
Kortgene;10250;KORTGENE
Maartensdijk (St.);10691;MAARTENSDIJK
Nieuwerkerk;10911;NIEUWERKERK Z
Noordgouwe;11107;NOORDGOUWE
Noordwelle;10055;NOORDWELLE
's Gravenpolder;11059;'S-GRAVENPOLDER
's Heer Abtskerke;10337;'S-HEER ABTSKERKE
's Heer Arendskerke;10875;'S-HEER ARENDSKERKE
's Heer Hendrikskinderen;10117;'S-HEER HENDRIKSKINDEREN
's Heerenhoek;10721;'S-HEERENHOEK
Baarland;10634;BAARLAND
Borssele;10043;BORSELE
Boschkappelle;10605;BOSCHKAPELLE
Driewegen;11115;DRIEWEGEN
Ellewoutsdijk;11300;ELLEWOUTSDIJK
Fort Bath;10623;BATH
Goes;10674;GOES
Heinkenszand;10413;HEINKENSZAND
Hoedekenskerke;11072;HOEDEKENSKERKE
Hontenisse;11123;HONTENISSE
Kapelle;11223;KAPELLE
Kattendijke;11218;KATTENDIJKE
Kruis (St.);10235;SINT KRUIS
Neuzen;NA;NA
Nieuwvliet;11165;NIEUWVLIET
Oostburg;10782;OOSTBURG
Overslag;10730;OVERSLAG
Philippine;10486;PHILIPPINE
Retranchement;10400;RETRANCHEMENT
Sas van Gent;11405;SAS VAN GENT
Schoondijke;10189;SCHOONDIJKE
Sluis;10895;SLUIS
St. Anna ter Muiden;11012;SINT ANNA TER MUIDEN
Waterlandkerkje;10352;WATERLANDKERKJE
Westdorpe;10915;WESTDORPE
Yzendijke;10688;IJZENDIJKE
Zaamslag;11173;ZAAMSLAG
Zuiddorpe;11087;ZUIDDORPE
Zuidzande;10437;ZUIDZANDE
Bergen op Zoom;11037;BERGEN OP ZOOM
Dinteloord;11193;DINTELOORD EN PRINSENLAND
Halsteren;10387;HALSTEREN
Hoeven;10065;HOEVEN
Huijbergen;10466;HUIJBERGEN
Nieuw-Vossemeer;10401;NIEUW VOSSEMEER
Ossendrecht;10929;OSSENDRECHT
Oud- en Nieuw-Gastel;11363;OUD EN NIEUW GASTEL
Putte;10099;PUTTE
Roosendaal;10407;ROOSENDAAL EN NISPEN
Rucphen;11152;RUCPHEN
Steenbergen;10731;STEENBERGEN
Woensdrecht;10602;WOENSDRECHT
